,tweet_date,tweet_year,tweet_month,tweet_day,tweet_hour,tweet_text,tweet_lat,tweet_long,tweet_source,tweet_in_reply_to_screen_name,tweet_direct_reply,tweet_retweet_status,tweet_retweet_count,tweet_favorite_count,tweet_hashtags,tweet_hashtags_count,tweet_urls,tweet_urls_count,tweet_user_mentions,tweet_user_mentions_count,tweet_media_type,tweet_lang
1076,2015-07-14 10:27:00+03:00,2015,7,14,10,"As #FGS completes the formation of federal member states, our government anticipates number of disputes, #enough capacity to solve exists.",,,Twitter Web Client,,TRUE,FALSE,3,1,"FGS, enough",2,,0,,0,,en
1077,2015-07-14 10:19:00+03:00,2015,7,14,10,"#enough capacity to resolve any and all emerging and existing federal member states.
https://t.co/Npz0GH2J22",,,Twitter Web Client,,TRUE,FALSE,4,1,enough,1,https://t.co/Npz0GH2J22,1,,0,,en
1078,2015-07-14 10:15:00+03:00,2015,7,14,10,"More than enough capacity to resolve #Somali problems within, as #SomaliPM and emerging state of Jubba visits in @Puntland_State shows",,,Twitter Web Client,,TRUE,FALSE,3,1,"Somali, SomaliPM",2,,0,Puntland_State,1,,en
1079,2015-07-14 00:32:00+03:00,2015,7,13,0,#Somalia takes its maritime delimitation case against the Republic of Kenya to court.,,,Twitter Web Client,,TRUE,FALSE,9,8,Somalia,1,,0,,0,,en
1080,2015-07-14 00:02:00+03:00,2015,7,13,0,DAAWO MADAXWEYNE XASAN SH MAXAMUUD OO KA HADLAYA NOLOSHISA: https://t.co/DJsuNhvad8,,,Twitter Web Client,,TRUE,FALSE,2,2,,0,https://t.co/DJsuNhvad8,1,,0,,so
1081,2015-07-13 18:38:00+03:00,2015,7,13,18,"Madaxweyne Hassan: ""Waxaa loo baahan yahay in waddamada ka soo kabanaya colaadaha il gaar ah lagu eego."" http://t.co/aL1JbkWwVJ",,,Twitter Web Client,,TRUE,FALSE,5,6,,0,,0,,0,photo,so
1082,2015-07-13 18:32:00+03:00,2015,7,13,18,"""Waa inaan isla meel dhignaa hadafyo la fulin karo.. si tartiib tartiib ah qeyb uga qaadan kara ciribtirka fakhriga"" http://t.co/pDiXQ0dsYS",,,Twitter Web Client,,TRUE,FALSE,3,5,,0,,0,,0,photo,so
1083,2015-07-13 15:08:00+03:00,2015,7,13,15,"Prez ""At least 40% of our population depends on remittance resource to pay for education, health, housing, run businesses, create jobs.""",,,Twitter Web Client,,TRUE,FALSE,9,4,,0,,0,,0,,en
1084,2015-07-13 15:03:00+03:00,2015,7,13,15,"President makes strong case for remittance: ""Constraining remittances will hurt the poorest in our region.""",,,Twitter Web Client,,TRUE,FALSE,8,3,,0,,0,,0,,en
1085,2015-07-13 14:20:00+03:00,2015,7,13,14,"Prez ""#Somalia launched a multi-agency Special Task Force on remittances to coordinate &amp; implement efforts to formalize financial sector.""",,,Twitter Web Client,,TRUE,FALSE,13,6,Somalia,1,,0,,0,,en
